from,to,weight,season
mainz,1,50,2021
hannover,2,40,2020
truiden,3,17,2020
arsenal,5,8,2020
chelsea,6,4,2020
paris,7,0,2019
monaco,8,18,2021
moedling,9,18,2019
wolfsburg,10,NA,2018
augsburg,11,5,2018
parisfc,14,80,2019
freiburg,15,13,2020
kiel,16,8,2019
wolfsburg,17,NA,2021
lissabon,18,5,2022
boldklub,19,45,2021
sandhausen,20,30,2019
paderborn,22,25,2021
anderlecht,23,18,2017
zagreb,24,60,2018
vfb,25,NA,2020
koeln,28,NA,2019
bielefeld,30,25,2018
cordoba,31,17,2019
turin,32,15,2021
nuernberg,33,3,2019
istanbul,34,NA,2021
iwata,37,1,2021
vfb,42,NA,2021
vfb,44,NA,2021
vfb,50,NA,2022
1,Deutschland,NA,NA
2,Deutschland,NA,NA
3,Japan,NA,NA
5,England,NA,NA
6,England,NA,NA
7,Frankreich,NA,NA
8,Frankreich,NA,NA
9,Oestrerreich,NA,NA
10,Deutschland,NA,NA
11,Deutschland,NA,NA
14,DR Kongo,NA,NA
15,Deutschland,NA,NA
16,Deutschland,NA,NA
17,Aegypten,NA,NA
18,Portugal,NA,NA
19,Daenemark,NA,NA
20,Deutschland,NA,NA
22,Deutschland,NA,NA
23,Belgien,NA,NA
24,Kroatien,NA,NA
25,Deutschland,NA,NA
28,Daenemark,NA,NA
30,Deutschland,NA,NA
31,Deutschland,NA,NA
32,Frankreich,NA,NA
33,Deutschland,NA,NA
34,Tuerkei,NA,NA
37,Japan,NA,NA
42,Deutschland,NA,NA
44,Niederlande,NA,NA
50,Frankreich,NA,NA